date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:07:15	199490/199490	---M-Z	200	added ('OK')	text/html	etag:%2255c3-621fad1a9e37f%22	https://www.onetouchhealth.net/	E:/New%20folder/HomeCareManagement/www.onetouchhealth.net/index.html	(from )
00:07:15	161/161	---M-Z	200	added ('OK')	text/plain	date:Fri,%2013%20Sep%202024%2007:07:13%20GMT	https://www.onetouchhealth.net/robots.txt		(from )
00:07:16	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2013%20Sep%202024%2007:07:14%20GMT	https://www.onetouchhealth.net/wp/xmlrpc.php	E:/New%20folder/HomeCareManagement/www.onetouchhealth.net/wp/xmlrpc.php	(from https://www.onetouchhealth.net/)
00:07:17	50/50	---M--	200	added ('OK')	text/css	etag:%2232-5fadece42b142%22	https://www.onetouchhealth.net/app/themes/soap-child/style.css	E:/New%20folder/HomeCareManagement/www.onetouchhealth.net/app/themes/soap-child/style.css	(from https://www.onetouchhealth.net/)
00:07:17	118908/118908	---M-Z	200	added ('OK')	image/svg+xml	etag:%221d07c-5fadf912eeaa1-gzip%22	https://www.onetouchhealth.net/app/themes/soap/dist/images/favicon.svg	E:/New%20folder/HomeCareManagement/www.onetouchhealth.net/app/themes/soap/dist/images/favicon.svg	(from https://www.onetouchhealth.net/)
00:07:18	15406/15406	---M-Z	200	added ('OK')	image/x-icon	etag:%223c2e-5fadf912eeaa1-gzip%22	https://www.onetouchhealth.net/app/themes/soap/dist/images/favicon.ico	E:/New%20folder/HomeCareManagement/www.onetouchhealth.net/app/themes/soap/dist/images/favicon.ico	(from https://www.onetouchhealth.net/)
00:07:18	10142/10142	---M--	200	added ('OK')	image/png	etag:%22279e-611b91daa7def%22	https://www.onetouchhealth.net/app/themes/soap/dist/images/apple-touch-icon.png	E:/New%20folder/HomeCareManagement/www.onetouchhealth.net/app/themes/soap/dist/images/apple-touch-icon.png	(from https://www.onetouchhealth.net/)
00:07:18	1425/1425	---M--	200	added ('OK')	image/png	etag:%22591-5fadf912eeaa1%22	https://www.onetouchhealth.net/app/themes/soap/dist/images/favicon-32x32.png	E:/New%20folder/HomeCareManagement/www.onetouchhealth.net/app/themes/soap/dist/images/favicon-32x32.png	(from https://www.onetouchhealth.net/)
00:07:19	650/650	---M--	200	added ('OK')	image/png	etag:%2228a-5fadf912eeaa1%22	https://www.onetouchhealth.net/app/themes/soap/dist/images/favicon-16x16.png	E:/New%20folder/HomeCareManagement/www.onetouchhealth.net/app/themes/soap/dist/images/favicon-16x16.png	(from https://www.onetouchhealth.net/)
00:07:19	263/263	---M--	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2015:10:03%20GMT	https://www.onetouchhealth.net/app/themes/soap/dist/images/site.webmanifest	E:/New%20folder/HomeCareManagement/www.onetouchhealth.net/app/themes/soap/dist/images/site.html	(from https://www.onetouchhealth.net/)
00:07:21	3023/3023	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2013%20Sep%202024%2007:07:19%20GMT	http://js-eu1.hs-scripts.com/25183355.js	E:/New%20folder/HomeCareManagement/js-eu1.hs-scripts.com/25183355.js	(from https://www.onetouchhealth.net/)
00:07:22	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2013%20Sep%202024%2007:07:21%20GMT	https://www.googletagmanager.com/gtm.js?id=	E:/New%20folder/HomeCareManagement/www.googletagmanager.com/gtm.95445.delayed	(from https://www.onetouchhealth.net/)
00:07:24	98909/98909	---M-Z	200	added ('OK')	application/javascript	etag:%221825d-61ffe8fddd74d-gzip%22	https://cdn-cookieyes.com/client_data/6342f89ee2374ad2609c8321/script.js	E:/New%20folder/HomeCareManagement/cdn-cookieyes.com/client_data/6342f89ee2374ad2609c8321/script.js	(from https://www.onetouchhealth.net/)
00:07:25	93430/93430	---MC-	200	added ('OK')	application/rss+xml	etag:%22ba351968240f7cb58eacda71bc620939%22	https://www.onetouchhealth.net/feed	E:/New%20folder/HomeCareManagement/www.onetouchhealth.net/feed	(from https://www.onetouchhealth.net/)
00:07:27	1127/1127	---MC-	200	added ('OK')	application/rss+xml	etag:%22ba351968240f7cb58eacda71bc620939%22	https://www.onetouchhealth.net/comments/feed	E:/New%20folder/HomeCareManagement/www.onetouchhealth.net/comments/feed	(from https://www.onetouchhealth.net/)
00:07:28	87553/87553	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215601-603fed35e19c0-gzip%22	https://www.onetouchhealth.net/wp/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	E:/New%20folder/HomeCareManagement/www.onetouchhealth.net/wp/wp-includes/js/jquery/jquery.minf43b.js	(from https://www.onetouchhealth.net/)
00:07:28	320467/320467	---MCZ	200	added ('OK')	text/css	etag:%224e3d3-611b91daa6e4f-gzip%22	https://www.onetouchhealth.net/app/themes/soap/dist/css/bundle.css?ver=1.0	E:/New%20folder/HomeCareManagement/www.onetouchhealth.net/app/themes/soap/dist/css/bundle5152.css	(from https://www.onetouchhealth.net/)
00:07:30	13577/13577	---M-Z	200	added ('OK')	application/x-javascript	etag:%223509-5fdabee5f2100-gzip%22	https://www.onetouchhealth.net/wp/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	E:/New%20folder/HomeCareManagement/www.onetouchhealth.net/wp/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://www.onetouchhealth.net/)
00:07:31	89528/89528	---M-Z	200	added ('OK')	application/json	date:Fri,%2013%20Sep%202024%2007:07:29%20GMT	https://www.onetouchhealth.net/wp-json/wp/v2/pages/8	E:/New%20folder/HomeCareManagement/www.onetouchhealth.net/wp-json/wp/v2/pages/8.json	(from https://www.onetouchhealth.net/)
00:07:31	302253/302253	---M-Z	200	added ('OK')	application/json	date:Fri,%2013%20Sep%202024%2007:07:29%20GMT	https://www.onetouchhealth.net/wp-json/	E:/New%20folder/HomeCareManagement/www.onetouchhealth.net/wp-json/index.html	(from https://www.onetouchhealth.net/)
00:07:32	859/859	---M-Z	200	added ('OK')	text/xml	date:Fri,%2013%20Sep%202024%2007:07:30%20GMT	https://www.onetouchhealth.net/wp/xmlrpc.php?rsd	E:/New%20folder/HomeCareManagement/www.onetouchhealth.net/wp/xmlrpc0db0.php	(from https://www.onetouchhealth.net/)
00:07:33	2338/2338	---M-Z	200	added ('OK')	application/json	date:Fri,%2013%20Sep%202024%2007:07:32%20GMT	https://www.onetouchhealth.net/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.onetouchhealth.net%2F	E:/New%20folder/HomeCareManagement/www.onetouchhealth.net/wp-json/oembed/1.0/embed74b0.json	(from https://www.onetouchhealth.net/)
